Round,Total_Sent_Bytes_MB
1,41.330909729003906
2,41.330909729003906
3,41.330909729003906
4,41.330909729003906
5,41.330909729003906
6,41.330909729003906
7,41.330909729003906
8,41.330909729003906
9,41.330909729003906
10,41.330909729003906
